,Bengaluru_mean_abs_shap,Hyderabad_mean_abs_shap,Pune_mean_abs_shap
building_count,0.050043672,0.049861398,0.052628815
building_area_ratio,0.059161797,0.059951674,0.039277222
road_length,0.036660627,0.04178627,0.15231666
distance_to_highway,0.037246604,0.036900785,0.09259758
green_area,0.060864754,0.06290177,0.05749467
distance_to_center,0.07483077,0.064327754,0.16134782
mean_ndvi_2019,0.16569795,0.17410791,0.18369143
mean_ndbi_2019,0.0372978,0.022031145,0.032213833
mean_ndwi_2019,0.06659313,0.051214688,0.041805174
mean_ndvi_2026,0.014857402,0.013633756,0.013603423
mean_ndbi_2026,0.28012624,0.20120232,0.19746587
mean_ndwi_2026,0.077844776,0.056854434,0.05080986
delta_ndvi,0.82009727,0.9764356,0.86814344
delta_ndbi,4.2197843,3.9272096,2.3824317
delta_ndwi,0.35767272,0.34478474,0.37705886
abs_delta_ndvi,0.033790596,0.048835598,0.051203158
abs_delta_ndbi,0.49564967,0.6633566,0.81684303
abs_delta_ndwi,0.029164685,0.03174625,0.04935197
norm_delta_ndvi,0.9390121,1.3527204,0.7976325
norm_delta_ndbi,0.59180295,0.5449031,0.7263916
norm_delta_ndwi,0.20286526,0.23334722,0.36482456
city_Bengaluru,0.10956151,0.059462857,0.06861341
city_Hyderabad,0.0,0.0,0.0
city_Pune,0.5273897,0.40924406,1.4663094
